# William Tell Overture - finale, Rossini
LOOP,9
E5,90
REST,20
E5,90
REST,20
E5,180
E5,90
REST,20
E5,90
REST,20
E5,180
E5,90
G#5,90
B5,90
E6,260
REST,60
B5,90
REST,20
B5,90
REST,20
B5,180
G#5,90
REST,20
G#5,90
REST,20
G#5,180
E5,90
G#5,90
B5,90
E6,260
REST,70
C#6,90
REST,20
C#6,90
REST,20
C#6,180
B5,90
REST,20
B5,90
REST,20
B5,180
A5,90
B5,90
C#6,90
E6,220
REST,50
E6,90
D#6,90
C#6,90
B5,90
A5,90
G#5,90
F#5,90
E5,180
REST,50
E5,75
G#5,75
B5,75
E6,150
B5,75
E6,75
G#6,240
REST,50
F#6,75
E6,75
D#6,75
C#6,75
B5,75
A5,75
G#5,75
F#5,75
E5,300
