# Symphony No. 5 - opening motif, Beethoven
LOOP,8
G4,120
REST,35
G4,120
REST,35
G4,120
Eb4,430
REST,100
F4,120
REST,35
F4,120
REST,35
F4,120
D4,430
REST,120
G4,110
REST,30
G4,110
REST,30
G4,110
Eb4,300
REST,45
Ab4,110
REST,30
Ab4,110
REST,30
Ab4,110
G4,300
REST,45
Eb5,110
REST,30
Eb5,110
REST,30
Eb5,110
C5,300
REST,45
G4,110
REST,30
G4,110
REST,30
G4,110
Eb4,300
REST,45
Bb4,110
REST,30
Bb4,110
REST,30
Bb4,110
Ab4,300
REST,45
F5,110
REST,30
F5,110
REST,30
F5,110
D5,300
REST,70
G5,100
F5,100
Eb5,100
D5,100
C5,100
Bb4,100
Ab4,100
G4,100
F4,100
Eb4,380
